avg_io_stall_ms,avg_read_stall_ms,avg_write_stall_ms,Database Name,File Size (MB),io_stalls,io_stall_read_ms,io_stall_write_ms,num_of_reads,num_of_writes,physical_name,ServerName,total_io,type_desc
2.3,3.2,1.6,tempdb,8.00,197,123,74,38,45,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\tempdb_mssql_4.ndf,PA01WJSHURAK03,83,ROWS
2.1,2.8,1.5,tempdb,8.00,197,119,78,41,50,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\tempdb_mssql_3.ndf,PA01WJSHURAK03,91,ROWS
2.1,2.2,1.9,tempdb,8.00,786,580,206,266,109,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\tempdb.mdf,PA01WJSHURAK03,375,ROWS
1.8,2.7,0.9,tempdb,8.00,161,117,44,42,47,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\tempdb_mssql_2.ndf,PA01WJSHURAK03,89,ROWS
1.7,1.9,0.2,tde_test_compress,24.13,70,69,1,36,4,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\TDE_Test_log_compress.ldf,PA01WJSHURAK03,40,LOG
1.3,1.5,0.0,TDE_Test,24.13,55,55,0,36,4,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\TDE_Test_log.ldf,PA01WJSHURAK03,40,LOG
1.0,1.0,0.0,NGProd_MONTHLY,3.00,3,3,0,2,0,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\NGProd_Monthly.mdf,PA01WJSHURAK03,2,ROWS
0.9,0.9,0.0,NGProd,3.00,102,102,0,111,1,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\NGProd.mdf,PA01WJSHURAK03,112,ROWS
0.9,0.5,1.0,tempdb,8.00,28,4,24,7,22,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\templog.ldf,PA01WJSHURAK03,29,LOG
0.8,0.8,0.0,model,2.25,101,101,0,121,3,C:\Program Files\Microsoft SQL Server\MSSQL13.MSSQLSERVER\MSSQL\DATA\model.mdf,PA01WJSHURAK03,124,ROWS
