client_net_address,connection count,host_name,login_name,program_name,ServerName
,0,,sa,,PA01WJSHURAK03\SQL14
<local machine>,1,PA01WJSHURAK03,ANEXINET\jshurak,.Net SqlClient Data Provider,PA01WJSHURAK03\SQL14
<local machine>,1,PA01WJSHURAK03,ANEXINET\jshurak,Microsoft SQL Server Management Studio,PA01WJSHURAK03\SQL14
<local machine>,1,PA01WJSHURAK03,ANEXINET\jshurak,Microsoft SQL Server Management Studio - Query,PA01WJSHURAK03\SQL14
<local machine>,24,PA01WJSHURAK03,PA01WJSHURAK03\sa_sql,SQL Server Data Collector - Controller,PA01WJSHURAK03\SQL14
<local machine>,1,PA01WJSHURAK03,PA01WJSHURAK03\sa_sql,SQLAgent - Email Logger,PA01WJSHURAK03\SQL14
<local machine>,1,PA01WJSHURAK03,PA01WJSHURAK03\sa_sql,SQLAgent - Generic Refresher,PA01WJSHURAK03\SQL14
<local machine>,1,PA01WJSHURAK03,PA01WJSHURAK03\sa_sql,SQLAgent - Job invocation engine,PA01WJSHURAK03\SQL14
<local machine>,1,PA01WJSHURAK03,PA01WJSHURAK03\sa_sql,SQLAgent - TSQL JobStep (Job 0x469AD460F58FBB4098329AE970E85DBD : Step 1),PA01WJSHURAK03\SQL14
<local machine>,1,PA01WJSHURAK03,PA01WJSHURAK03\sa_sql,SQLAgent - TSQL JobStep (Job 0xA4A86B36DD20F74F99DAF369BAA64D1E : Step 1),PA01WJSHURAK03\SQL14
<local machine>,1,PA01WJSHURAK03,PA01WJSHURAK03\sa_sql,SQLAgent - TSQL JobStep (Job 0xC91B53E5CED4AE4BBC903E917CE158C7 : Step 1),PA01WJSHURAK03\SQL14
<local machine>,1,PA01WJSHURAK03,PA01WJSHURAK03\sa_sql,SQLAgent - TSQL JobStep (Job 0xCBB386CFC4211E4888059AD604E5A0DC : Step 1),PA01WJSHURAK03\SQL14
